round;alive_units;dead_units;average_hp;evades;attacks;health_picked;round_time
1;0;3;NaN;3;30;2;46.542
2;0;3;NaN;4;36;0;38.7506
3;0;3;NaN;3;37;0;38.9491
4;0;3;NaN;3;36;2;33.2126
5;0;3;NaN;3;41;3;40.275
6;0;3;NaN;6;35;0;34.6163
7;0;3;NaN;4;30;1;34.8347
8;0;3;NaN;6;34;0;35.6828
9;0;3;NaN;2;34;2;35.7388
10;0;3;NaN;4;36;2;38.4604
11;0;3;NaN;3;36;4;41.7187
12;0;3;NaN;6;33;0;33.8699
13;0;3;NaN;5;39;4;42.3379
14;0;3;NaN;3;38;1;39.5723
15;2;1;15.0;4;39;3;40.4217
16;0;3;NaN;7;40;2;41.778
17;0;3;NaN;4;38;3;41.9215
18;0;3;NaN;5;24;1;34.6935
19;0;3;NaN;5;39;2;47.036
20;0;3;NaN;4;40;2;38.3958
21;0;3;NaN;3;24;0;24.8339
22;0;3;NaN;4;35;0;39.9485
23;0;3;NaN;5;31;1;36.0252
24;0;3;NaN;3;28;1;32.4926
25;0;3;NaN;4;33;1;37.5833
26;0;3;NaN;10;40;5;48.664
27;0;3;NaN;2;34;3;35.7329
28;0;3;NaN;1;29;0;35.934
29;0;3;NaN;6;30;1;39.4427
30;0;3;NaN;2;38;1;40.0025
31;0;3;NaN;4;43;4;48.6824
32;0;3;NaN;4;24;2;36.8939
33;0;3;NaN;4;36;2;37.7044
34;0;3;NaN;8;37;2;48.663
35;0;3;NaN;7;32;2;39.427
36;0;3;NaN;2;34;2;32.8627
37;0;3;NaN;1;39;2;50.7276
38;0;3;NaN;7;42;2;43.9132
39;0;3;NaN;4;35;4;36.066
40;0;3;NaN;3;37;1;33.0305
41;0;3;NaN;8;34;3;44.8676
42;0;3;NaN;5;36;3;39.2455
43;0;3;NaN;6;35;3;35.6935
44;0;3;NaN;9;37;2;38.6108
45;0;3;NaN;2;36;1;34.6861
46;0;3;NaN;4;34;1;36.6484
47;0;3;NaN;7;39;5;49.51
48;0;3;NaN;7;36;0;39.2409
49;0;3;NaN;5;38;2;44.654
50;0;3;NaN;5;38;3;40.4867
